"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UHRF11",9.41958164686613e-63,0.647793117668737,0.379,0.247,1.63307287011718e-58,"GE RG NKX2-1 OLIG1","UHRF1"
"THSD41",9.84575287160541e-63,0.420235810769101,0.129,0.044,1.70695817535023e-58,"GE RG NKX2-1 OLIG1","THSD4"
"SOX8",4.69551346800292e-61,0.423496187502332,0.126,0.044,8.14061169947665e-57,"GE RG NKX2-1 OLIG1","SOX8"
"RTN31",9.89529493908892e-58,0.473476423842142,0.668,0.592,1.71554728358985e-53,"GE RG NKX2-1 OLIG1","RTN3"
"NES2",1.09286822337252e-57,0.462251818232589,0.679,0.583,1.89470563886093e-53,"GE RG NKX2-1 OLIG1","NES"
"CORO1C",8.85391945592486e-56,0.432527855093503,0.143,0.058,1.53500401607369e-51,"GE RG NKX2-1 OLIG1","CORO1C"
"NKAIN3",1.12775678706981e-55,0.549540943207683,0.195,0.095,1.95519194174292e-51,"GE RG NKX2-1 OLIG1","NKAIN3"
"MAP1B2",1.76516306026626e-55,0.333530223874671,0.918,0.874,3.06026319758362e-51,"GE RG NKX2-1 OLIG1","MAP1B"
"IGDCC31",1.22604575642017e-54,0.555766404367759,0.225,0.118,2.12559552790565e-50,"GE RG NKX2-1 OLIG1","IGDCC3"
"METRN3",8.09218424998183e-54,0.644699191305012,0.5,0.394,1.40294198341935e-49,"GE RG NKX2-1 OLIG1","METRN"
"LAMP32",4.85238142671088e-53,0.432546884546895,0.638,0.549,8.41257367948865e-49,"GE RG NKX2-1 OLIG1","LAMP3"
"ZEB1",2.03145927387135e-52,0.562031811551969,0.316,0.199,3.52194094311076e-48,"GE RG NKX2-1 OLIG1","ZEB1"
"CAMK2N12",3.3113310524437e-50,0.593502460368254,0.255,0.148,5.74085464562165e-46,"GE RG NKX2-1 OLIG1","CAMK2N1"
"DPYSL21",9.11291316562306e-50,0.475609203868908,0.611,0.532,1.57990575552407e-45,"GE RG NKX2-1 OLIG1","DPYSL2"
"SRSF7",4.6154188900711e-49,0.385920094339927,0.798,0.761,8.00175172971626e-45,"GE RG NKX2-1 OLIG1","SRSF7"
"CADM11",4.07228454149107e-45,0.502889435058836,0.398,0.285,7.06011970958307e-41,"GE RG NKX2-1 OLIG1","CADM1"
"HNRNPAB",7.18499720555194e-44,0.414999679643792,0.625,0.548,1.24566296552654e-39,"GE RG NKX2-1 OLIG1","HNRNPAB"
"HMGB22",1.21264372464667e-43,0.425606555106598,0.741,0.639,2.10236042541993e-39,"GE RG NKX2-1 OLIG1","HMGB2"
"TLE31",1.53964628273397e-42,0.488822879024411,0.227,0.131,2.66928476037589e-38,"GE RG NKX2-1 OLIG1","TLE3"
"SOX61",2.96131408746565e-42,0.478688111076847,0.232,0.134,5.1340302334392e-38,"GE RG NKX2-1 OLIG1","SOX6"
"CFL1",4.55855571173541e-42,0.313039230750618,0.831,0.819,7.90316803743568e-38,"GE RG NKX2-1 OLIG1","CFL1"
"MAZ1",1.79618866076875e-41,0.483383589244452,0.532,0.457,3.11405228117478e-37,"GE RG NKX2-1 OLIG1","MAZ"
"STK39",2.55550576342207e-39,0.422284741986122,0.164,0.085,4.43048034204484e-35,"GE RG NKX2-1 OLIG1","STK39"
"NPAS31",4.23594807518673e-39,0.481222765629491,0.251,0.155,7.34386317795123e-35,"GE RG NKX2-1 OLIG1","NPAS3"
"NOTCH11",7.45093042330094e-39,0.4821227843068,0.306,0.207,1.29176780748768e-34,"GE RG NKX2-1 OLIG1","NOTCH1"
"ATP1B31",7.80927358330042e-39,0.489146970791771,0.445,0.361,1.35389376113679e-34,"GE RG NKX2-1 OLIG1","ATP1B3"
"AFF2",1.42017490201434e-38,0.434054068444582,0.164,0.085,2.46215722762227e-34,"GE RG NKX2-1 OLIG1","AFF2"
"PCNA2",3.54103344253091e-38,0.470280751149652,0.531,0.442,6.13908967931585e-34,"GE RG NKX2-1 OLIG1","PCNA"
"SNRPB1",1.67316761757883e-37,0.28157061139716,0.873,0.831,2.90077069859641e-33,"GE RG NKX2-1 OLIG1","SNRPB"
"PSD31",5.42429721474185e-37,0.360762822706629,0.134,0.064,9.40410408119794e-33,"GE RG NKX2-1 OLIG1","PSD3"
"QKI",1.0085963770421e-36,0.397893730863781,0.632,0.58,1.74860353887788e-32,"GE RG NKX2-1 OLIG1","QKI"
"ZNF7041",2.47444253557203e-34,0.451940300822249,0.256,0.169,4.28994102392124e-30,"GE RG NKX2-1 OLIG1","ZNF704"
"MAP2",2.55388843337735e-34,0.436065016612344,0.388,0.296,4.42767637694632e-30,"GE RG NKX2-1 OLIG1","MAP2"
"BTG1",3.22347844503296e-34,0.441251130212634,0.452,0.367,5.58854458015364e-30,"GE RG NKX2-1 OLIG1","BTG1"
"RPA31",5.85526758381736e-34,0.399415348235667,0.543,0.473,1.01512774100641e-29,"GE RG NKX2-1 OLIG1","RPA3"
"NRARP",1.01675802962367e-33,0.528188268764307,0.31,0.222,1.76275339595856e-29,"GE RG NKX2-1 OLIG1","NRARP"
"SOX211",1.96572465669198e-33,0.43547484371994,0.195,0.114,3.40797683730689e-29,"GE RG NKX2-1 OLIG1","SOX21"
"SKA2",3.11330549437619e-33,0.394550884946494,0.574,0.527,5.3975377356e-29,"GE RG NKX2-1 OLIG1","SKA2"
"MOB3B1",6.33073447352406e-33,0.416340855825528,0.245,0.157,1.09755943567487e-28,"GE RG NKX2-1 OLIG1","MOB3B"
"FEZ12",1.06009780405221e-32,0.416736425967253,0.506,0.421,1.83789156288532e-28,"GE RG NKX2-1 OLIG1","FEZ1"
"POLE41",1.91490612658342e-32,0.453290579698531,0.493,0.426,3.31987275165767e-28,"GE RG NKX2-1 OLIG1","POLE4"
"DDX5",5.00621021560703e-32,0.341024416104307,0.682,0.661,8.67926665079791e-28,"GE RG NKX2-1 OLIG1","DDX5"
"PRTFDC11",5.01165437246746e-32,0.455366182358625,0.434,0.355,8.68870518554683e-28,"GE RG NKX2-1 OLIG1","PRTFDC1"
"IDI11",1.00030863025316e-31,0.47155316820823,0.41,0.325,1.7342350722699e-27,"GE RG NKX2-1 OLIG1","IDI1"
"LHFPL6",2.20077336664867e-31,0.398667160187731,0.173,0.098,3.8154807857588e-27,"GE RG NKX2-1 OLIG1","LHFPL6"
"SNRPD1",2.77528056331306e-31,0.283170155618865,0.785,0.761,4.81150391261585e-27,"GE RG NKX2-1 OLIG1","SNRPD1"
"GINS2",4.78019201258264e-31,0.468647563928887,0.371,0.288,8.28741889221452e-27,"GE RG NKX2-1 OLIG1","GINS2"
"CAPG",2.03422218373556e-30,0.312121833442744,0.106,0.049,3.52673099994235e-26,"GE RG NKX2-1 OLIG1","CAPG"
"TCF4",2.15657512626238e-30,0.308689801227689,0.518,0.434,3.73885429640109e-26,"GE RG NKX2-1 OLIG1","TCF4"
"IGF2BP1",5.6492706218375e-30,0.455155060246508,0.398,0.324,9.79414047707967e-26,"GE RG NKX2-1 OLIG1","IGF2BP1"
"AIF1L2",1.1731280320691e-29,0.411853364835699,0.248,0.165,2.0338520691982e-25,"GE RG NKX2-1 OLIG1","AIF1L"
"SEPTIN11",1.37549529473412e-29,0.407179054397431,0.515,0.446,2.38469619248054e-25,"GE RG NKX2-1 OLIG1","SEPTIN11"
"SRGAP11",4.8464881339319e-29,0.390752425192683,0.193,0.117,8.40235647779774e-25,"GE RG NKX2-1 OLIG1","SRGAP1"
"GPM6A",1.37808977961445e-28,0.418479622353025,0.442,0.366,2.38919425091757e-24,"GE RG NKX2-1 OLIG1","GPM6A"
"TOX31",1.54285111206434e-28,0.404713506134806,0.243,0.163,2.67484097298595e-24,"GE RG NKX2-1 OLIG1","TOX3"
"FGFR2",2.39958827978207e-28,0.343880776502921,0.116,0.058,4.16016620065817e-24,"GE RG NKX2-1 OLIG1","FGFR2"
"LMNB11",2.46853873201579e-28,0.403714895702497,0.477,0.412,4.27970559969577e-24,"GE RG NKX2-1 OLIG1","LMNB1"
"FDPS1",4.38831044615081e-28,0.300671572720913,0.712,0.654,7.60801382049166e-24,"GE RG NKX2-1 OLIG1","FDPS"
"PTBP21",3.1146938627646e-27,0.4306717290853,0.335,0.256,5.39994474987499e-23,"GE RG NKX2-1 OLIG1","PTBP2"
"YBX1",6.33944898791581e-27,0.253321382284512,0.899,0.866,1.09907027103496e-22,"GE RG NKX2-1 OLIG1","YBX1"
"FRMD4B1",1.78512243108168e-26,0.384491392374735,0.201,0.128,3.0948667587663e-22,"GE RG NKX2-1 OLIG1","FRMD4B"
"SEMA5A2",6.20506016151893e-25,0.318992884647535,0.137,0.077,1.07577128020254e-20,"GE RG NKX2-1 OLIG1","SEMA5A"
"SMC32",6.72531863688648e-25,0.30450814183556,0.674,0.64,1.16596849207701e-20,"GE RG NKX2-1 OLIG1","SMC3"
"HNRNPM",4.9792169490109e-24,0.270683953297726,0.759,0.751,8.6324684245002e-20,"GE RG NKX2-1 OLIG1","HNRNPM"
"CDC25B",6.08725766620991e-24,0.359473747782252,0.14,0.081,1.05534786159081e-19,"GE RG NKX2-1 OLIG1","CDC25B"
"PCDH171",1.28429350921899e-23,0.327389599229991,0.147,0.087,2.22657965693296e-19,"GE RG NKX2-1 OLIG1","PCDH17"
"HS6ST21",2.23727341967462e-23,0.305203545570665,0.121,0.066,3.87876092768989e-19,"GE RG NKX2-1 OLIG1","HS6ST2"
"ELF2",6.83473748713299e-23,0.420416068179046,0.251,0.182,1.18493843814425e-18,"GE RG NKX2-1 OLIG1","ELF2"
"DBI",1.92765051995682e-22,0.349811542546058,0.62,0.601,3.34196770644913e-18,"GE RG NKX2-1 OLIG1","DBI"
"ANP32B2",2.18902494115282e-22,0.266347630951639,0.737,0.719,3.79511254047665e-18,"GE RG NKX2-1 OLIG1","ANP32B"
"SOX11",2.37059159650224e-22,0.297098790607493,0.652,0.61,4.10989465085594e-18,"GE RG NKX2-1 OLIG1","SOX11"
"GMNN1",4.45425292490646e-22,0.385161948366982,0.295,0.225,7.72233829591032e-18,"GE RG NKX2-1 OLIG1","GMNN"
"TAOK31",6.22678542499039e-22,0.368927581909315,0.201,0.135,1.07953778913058e-17,"GE RG NKX2-1 OLIG1","TAOK3"
"RAB31",1.90269542914638e-21,0.299800923944888,0.12,0.067,3.29870306551108e-17,"GE RG NKX2-1 OLIG1","RAB31"
"MCM72",2.05237449766199e-21,0.398830799783069,0.401,0.341,3.55820166659658e-17,"GE RG NKX2-1 OLIG1","MCM7"
"PCLAF2",2.96801728821079e-21,0.354756349545398,0.51,0.43,5.14565157257105e-17,"GE RG NKX2-1 OLIG1","PCLAF"
"TRA2B1",3.30949039719215e-21,0.349171940891401,0.555,0.532,5.73766350161203e-17,"GE RG NKX2-1 OLIG1","TRA2B"
"KIF1B1",8.37476551302551e-21,0.361275271321098,0.424,0.365,1.45193309699323e-16,"GE RG NKX2-1 OLIG1","KIF1B"
"HAT11",8.41415089932128e-21,0.388815345182113,0.343,0.282,1.45876134141533e-16,"GE RG NKX2-1 OLIG1","HAT1"
"DCTN32",8.45510405525105e-21,0.258088510000422,0.793,0.795,1.46586139005887e-16,"GE RG NKX2-1 OLIG1","DCTN3"
"LSAMP1",1.04514133026426e-20,0.349481044737801,0.192,0.129,1.81196152427914e-16,"GE RG NKX2-1 OLIG1","LSAMP"
"ZMIZ1",1.57226184416149e-20,0.309572477533908,0.157,0.099,2.72583035922277e-16,"GE RG NKX2-1 OLIG1","ZMIZ1"
"PCDH191",2.84535347445578e-20,0.27899123731499,0.103,0.056,4.93298931866399e-16,"GE RG NKX2-1 OLIG1","PCDH19"
"POLR2F",4.61540542886917e-20,0.293933436588381,0.599,0.579,8.00172839203047e-16,"GE RG NKX2-1 OLIG1","POLR2F"
"CLIC41",4.87025016906031e-20,0.352837969124422,0.294,0.229,8.44355271809986e-16,"GE RG NKX2-1 OLIG1","CLIC4"
"PDPN1",6.41837493379961e-20,0.326630863440187,0.206,0.142,1.11275366227284e-15,"GE RG NKX2-1 OLIG1","PDPN"
"FAM53B1",1.18820962236205e-19,0.281055794772543,0.12,0.07,2.05999902228909e-15,"GE RG NKX2-1 OLIG1","FAM53B"
"C7H15orf61",1.42322551181577e-19,0.293343063542071,0.136,0.083,2.467446069835e-15,"GE RG NKX2-1 OLIG1","C7H15orf61"
"E2F1",1.94060283561118e-19,0.356133910186264,0.141,0.089,3.36442313609909e-15,"GE RG NKX2-1 OLIG1","E2F1"
"CXXC43",2.76629810675652e-19,0.329641146407003,0.219,0.154,4.79593102768377e-15,"GE RG NKX2-1 OLIG1","CXXC4"
"H2AFX2",2.96709135726416e-19,0.378155023769359,0.524,0.473,5.14404628608887e-15,"GE RG NKX2-1 OLIG1","H2AFX"
"TTC3",3.85809932224136e-19,0.305690959901386,0.595,0.576,6.68878679496984e-15,"GE RG NKX2-1 OLIG1","TTC3"
"CKS1B2",4.14121622008192e-19,0.311346746969331,0.503,0.449,7.17962656075603e-15,"GE RG NKX2-1 OLIG1","CKS1B"
"HNRNPD",4.32086306833851e-19,0.25333463699166,0.734,0.72,7.49108030157848e-15,"GE RG NKX2-1 OLIG1","HNRNPD"
"EIF51",9.00495916963974e-19,0.3010478874362,0.573,0.545,1.56118977124044e-14,"GE RG NKX2-1 OLIG1","EIF5"
"C11H12orf751",1.26426926240827e-18,0.331613092345495,0.299,0.235,2.19186362023722e-14,"GE RG NKX2-1 OLIG1","C11H12orf75"
"SMC42",1.30704471172502e-18,0.330094859590226,0.482,0.423,2.26602341671766e-14,"GE RG NKX2-1 OLIG1","SMC4"
"SPAG91",2.91669005806452e-18,0.373300608441487,0.285,0.225,5.05666555366646e-14,"GE RG NKX2-1 OLIG1","SPAG9"
"MCAM1",7.5262894235369e-18,0.295481395043208,0.125,0.076,1.30483279735859e-13,"GE RG NKX2-1 OLIG1","MCAM"
"FRZB2",2.35216100893942e-17,0.294332172005548,0.136,0.084,4.07794154119827e-13,"GE RG NKX2-1 OLIG1","FRZB"
"DPYSL4",2.91650907471622e-17,0.351835820454794,0.286,0.23,5.05635178283551e-13,"GE RG NKX2-1 OLIG1","DPYSL4"
"NKAIN41",6.30444752082805e-17,0.325428201197539,0.168,0.114,1.09300206668596e-12,"GE RG NKX2-1 OLIG1","NKAIN4"
"CKS22",6.52377651311605e-17,0.356301752069348,0.609,0.579,1.13102713407893e-12,"GE RG NKX2-1 OLIG1","CKS2"
"CHIC2",6.79627106230152e-17,0.339962489439101,0.217,0.159,1.17826951407121e-12,"GE RG NKX2-1 OLIG1","CHIC2"
"ANP32E1",8.23340296979907e-17,0.326508321861486,0.608,0.59,1.42742507287406e-12,"GE RG NKX2-1 OLIG1","ANP32E"
"GAP431",1.14240534243679e-16,0.282618438355999,0.164,0.11,1.98058814218267e-12,"GE RG NKX2-1 OLIG1","GAP43"
"FDFT11",1.69138913415466e-16,0.357061523844165,0.353,0.3,2.93236134188394e-12,"GE RG NKX2-1 OLIG1","FDFT1"
"DPF1",3.55804961861265e-16,0.297822029218319,0.104,0.062,6.16859062378875e-12,"GE RG NKX2-1 OLIG1","DPF1"
"NEDD4L",3.7617298158792e-16,0.271238241101419,0.131,0.083,6.52171098178977e-12,"GE RG NKX2-1 OLIG1","NEDD4L"
"GPC1",3.82876287203153e-16,0.350817951578176,0.224,0.169,6.63792619124106e-12,"GE RG NKX2-1 OLIG1","GPC1"
"FADS11",1.00684219471825e-15,0.348130495885971,0.393,0.345,1.74556231298303e-11,"GE RG NKX2-1 OLIG1","FADS1"
"CFAP201",1.24354984035788e-15,0.333765186769359,0.343,0.294,2.15594235822846e-11,"GE RG NKX2-1 OLIG1","CFAP20"
"PPIL1",1.46770779806889e-15,0.335758676909928,0.359,0.313,2.54456500951204e-11,"GE RG NKX2-1 OLIG1","PPIL1"
"RHOBTB3",2.56420109294359e-15,0.334518299059975,0.344,0.294,4.4455554348363e-11,"GE RG NKX2-1 OLIG1","RHOBTB3"
"ACAT21",3.05204443349306e-15,0.268722978799055,0.584,0.545,5.29132943434693e-11,"GE RG NKX2-1 OLIG1","ACAT2"
"RRM12",3.6828702976091e-15,0.350137156196365,0.359,0.312,6.3849922349649e-11,"GE RG NKX2-1 OLIG1","RRM1"
"AKAP121",3.90202858172478e-15,0.308912079150199,0.155,0.106,6.76494695213624e-11,"GE RG NKX2-1 OLIG1","AKAP12"
"DDAH11",5.23087269413438e-15,0.258061079408461,0.114,0.071,9.06876398982078e-11,"GE RG NKX2-1 OLIG1","DDAH1"
"CDK62",6.36839914240867e-15,0.330578021034172,0.191,0.137,1.10408935931939e-10,"GE RG NKX2-1 OLIG1","CDK6"
"AP1S22",6.69996288004915e-15,0.306720669421778,0.376,0.322,1.16157256451412e-10,"GE RG NKX2-1 OLIG1","AP1S2"
"DCLK1",1.4036531536465e-14,0.308238694211368,0.176,0.126,2.43351347247694e-10,"GE RG NKX2-1 OLIG1","DCLK1"
"HDAC2",1.64663932947005e-14,0.264099873249209,0.598,0.594,2.85477860550223e-10,"GE RG NKX2-1 OLIG1","HDAC2"
"MCM32",2.76165619003123e-14,0.353379097353582,0.285,0.237,4.78788333665714e-10,"GE RG NKX2-1 OLIG1","MCM3"
"MID1IP1",3.59548134879809e-14,0.295992699065767,0.144,0.099,6.23348601441125e-10,"GE RG NKX2-1 OLIG1","MID1IP1"
"MCM61",3.88877460435365e-14,0.330205811917827,0.196,0.146,6.74196853156792e-10,"GE RG NKX2-1 OLIG1","MCM6"
"STK24",5.39681106044255e-14,0.318650360738717,0.198,0.149,9.35645133548925e-10,"GE RG NKX2-1 OLIG1","STK24"
"BUB31",7.00220372032665e-14,0.323949392626242,0.349,0.305,1.21397205899303e-09,"GE RG NKX2-1 OLIG1","BUB3"
"NUSAP12",8.28862752270166e-14,0.372641064531298,0.384,0.329,1.43699935361079e-09,"GE RG NKX2-1 OLIG1","NUSAP1"
"EZH2",9.27684261533229e-14,0.31545029893516,0.398,0.361,1.60832620422016e-09,"GE RG NKX2-1 OLIG1","EZH2"
"SETBP1",1.19003557356585e-13,0.306736651320302,0.203,0.152,2.06316467389111e-09,"GE RG NKX2-1 OLIG1","SETBP1"
"KMT2A",1.51993397667613e-13,0.329914846475903,0.382,0.345,2.6351095353634e-09,"GE RG NKX2-1 OLIG1","KMT2A"
"PFDN2",1.82440603349476e-13,0.272243411742586,0.582,0.581,3.16297274026987e-09,"GE RG NKX2-1 OLIG1","PFDN2"
"NDUFAF8",3.28794909757704e-13,0.320973118822742,0.416,0.386,5.70031735046931e-09,"GE RG NKX2-1 OLIG1","NDUFAF8"
"ZFP36L2",4.0963346068693e-13,0.305223082205079,0.24,0.191,7.1018153079293e-09,"GE RG NKX2-1 OLIG1","ZFP36L2"
"TOP2A2",1.16360223701804e-12,0.441281799130401,0.46,0.415,2.01733719831817e-08,"GE RG NKX2-1 OLIG1","TOP2A"
"SMC1A",1.56133027470488e-12,0.336470440216223,0.311,0.267,2.70687829725585e-08,"GE RG NKX2-1 OLIG1","SMC1A"
"CCNE2",2.47741237268214e-12,0.256491110763265,0.1,0.064,4.29508983051902e-08,"GE RG NKX2-1 OLIG1","CCNE2"
"DNAJC12",3.75878916443971e-12,0.310129898662662,0.286,0.24,6.51661277438913e-08,"GE RG NKX2-1 OLIG1","DNAJC1"
"NIN1",3.77696899161361e-12,0.257083213903778,0.117,0.078,6.54813114076052e-08,"GE RG NKX2-1 OLIG1","NIN"
"ARHGAP21",6.20795233755383e-12,0.318240801084735,0.231,0.186,1.07627269676171e-07,"GE RG NKX2-1 OLIG1","ARHGAP21"
"NUDT1",6.70221385207151e-12,0.294273479171664,0.382,0.349,1.16196281553364e-07,"GE RG NKX2-1 OLIG1","NUDT1"
"PNN",6.86352390278152e-12,0.258077684778521,0.562,0.562,1.18992913902523e-07,"GE RG NKX2-1 OLIG1","PNN"
"CRMP11",9.49399562039236e-12,0.288807999572392,0.325,0.281,1.64597402070742e-07,"GE RG NKX2-1 OLIG1","CRMP1"
"HMGN5",1.12092524793611e-11,0.322552311839038,0.251,0.208,1.94334810234683e-07,"GE RG NKX2-1 OLIG1","HMGN5"
"SMC21",1.32748063916866e-11,0.304117068329711,0.37,0.328,2.30145318412671e-07,"GE RG NKX2-1 OLIG1","SMC2"
"GNAO11",2.10520160161223e-11,0.263568087012071,0.166,0.123,3.64978801671512e-07,"GE RG NKX2-1 OLIG1","GNAO1"
"SMARCA5",2.42009337330721e-11,0.278485528853247,0.502,0.488,4.19571588130271e-07,"GE RG NKX2-1 OLIG1","SMARCA5"
"PHGDH",2.64035915517873e-11,0.277758981276865,0.511,0.497,4.57759066733336e-07,"GE RG NKX2-1 OLIG1","PHGDH"
"EPHB2",2.6544620572768e-11,0.295089976781454,0.195,0.152,4.60204086870079e-07,"GE RG NKX2-1 OLIG1","EPHB2"
"TCF121",4.66214908956121e-11,0.27540950698745,0.175,0.133,8.08276787657227e-07,"GE RG NKX2-1 OLIG1","TCF12"
"KIF15",5.91538157176236e-11,0.292103092192581,0.221,0.179,1.02554970309644e-06,"GE RG NKX2-1 OLIG1","KIF15"
"SOX5",9.60051918570888e-11,0.278594667845657,0.233,0.19,1.66444201122635e-06,"GE RG NKX2-1 OLIG1","SOX5"
"IPO9",1.32833269814756e-10,0.288298271068959,0.3,0.261,2.30293039877842e-06,"GE RG NKX2-1 OLIG1","IPO9"
"C1H1orf21",3.04956033484872e-10,0.255009460189637,0.183,0.142,5.28702275252723e-06,"GE RG NKX2-1 OLIG1","C1H1orf21"
"SCRN1",3.45225346964783e-10,0.25775341568554,0.157,0.118,5.98517184032844e-06,"GE RG NKX2-1 OLIG1","SCRN1"
"NT5DC22",4.55577139473073e-10,0.272506920912127,0.391,0.364,7.89834086704466e-06,"GE RG NKX2-1 OLIG1","NT5DC2"
